topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type,BIC_diff,verdict
t116,AUM3,29749.17650945303,24.78242848188476,7,0.05704123956259702,TRUE,3501,AUM,-158.36102401378957,AUM
t117,SDM1,19345.557571305406,6.111583913531318,6,0.01721210853824747,TRUE,3501,SDM,-5.222162850895984,SDM
t118,AUM3,29756.313306870226,4.515458843354914e-4,7,0,TRUE,3501,AUM,-8.148029838801449,AUM
t119,SDM1,26028.018525994416,5.2272853694373875,6,0.014562342773175375,TRUE,3501,SDM,-4.643181195177021,SDM
t120,SDM1,29937.251423885493,8.89248791539647,6,0.02368605140725066,TRUE,3501,SDM,-8.0138160310089,SDM
t121,AUM3,30101.30183067715,17.09361448538018,7,0.04642859841562941,TRUE,3501,AUM,-38.54570926650922,AUM
t122,AUM3,28111.69713521231,21.552020531742567,7,0.05284267192848366,TRUE,3501,AUM,-12.457525882120535,AUM
t123,SDM1,25952.296377799947,5.261695993077541,6,0.014674402652879812,TRUE,3501,SDM,-8.109701325229253,SDM
t124,AUM3,29540.339442718236,16.643028025537404,7,0.04573033613048843,TRUE,3501,AUM,-7.995704161221511,AUM
t125,SDM1,29980.052059134356,5.72878318945668,6,0.01611861910607617,TRUE,3501,SDM,-6.1906822857308725,SDM
t126,AUM3,28482.21881598621,11.031449515001356,7,0.035914322327897485,TRUE,3501,AUM,-7.341987546860764,AUM
t127,AUM4,26857.712905209588,106.6214883350685,8,0.1736921080423405,TRUE,3501,AUM,-7.1648179970434285,AUM
t128,AUM3,30366.276169569748,16.40632120899687,7,0.045359211212770666,TRUE,3501,AUM,-17.472571741560387,AUM
t129,AUM3,25121.18593903174,11.9367500842393,7,0.03767134535069297,TRUE,3501,AUM,-72.87154855655899,AUM
t130,SDM1,26484.308239926235,18.013315607806188,6,0.037807818937216096,TRUE,3501,SDM,-2.8055803062816267,SDM
t131,AUM3,28966.42231776051,98.03812411405573,7,0.11711453032189759,TRUE,3501,AUM,-177.1324579982429,AUM
t132,SDM1,25537.691858269052,6.659122609385217,6,0.01866516348811872,TRUE,3501,SDM,-1.569937398962793,Inconclusive
t133,AUM3,25109.02856384073,19.062866803123082,7,0.04936452325132091,TRUE,3501,AUM,-31.463020408991724,AUM
t134,SDM1,24438.5165465175,107.07256115451209,6,0.0995431634687433,TRUE,3501,SDM,-1.0022242846825975,Inconclusive
t135,SDM1,27090.636761173806,33.04249718493794,6,0.053482454680694715,TRUE,3501,SDM,-6.862773271528567,SDM
t136,AUM3,27457.663990322322,3.992207583068864,7,0.016867714484376066,TRUE,3501,AUM,-21.06941366686806,AUM
t137,SDM1,30072.234818231816,12.139507597478508,6,0.029498824924881747,TRUE,3501,SDM,-7.958801497079548,SDM
t138,AUM3,28248.972564209897,4.837658588709698,7,0.020131170077030712,TRUE,3501,AUM,-1.8613679682712245,Inconclusive
t139,AUM3,32049.80797802956,68.85605105102678,7,0.09771456594024469,TRUE,3501,AUM,-169.17971867025335,AUM
